#,Airport,Departures,Arrivals,Total,Departure,Average,Arrival,Average
,,,,Operations,Seats,Departure,Seats,Arrival
,,,,,,Seats,,Seats
48,CID - Cedar Rapids,8947 ,8950 ,17897 ,680764 ,76 ,681055 ,76 
49,CLE - Cleveland,48354 ,48346 ,96700 ,5313056 ,109 ,5310286 ,109 
50,CLL - College Station,3081 ,3072 ,6153 ,126094 ,40 ,126141 ,41 
51,CLT - Charlotte,169522 ,169574 ,339096 ,22234234 ,131 ,22237673 ,131 
52,CMH - Columbus,49637 ,49262 ,98899 ,5027510 ,101 ,5027138 ,102 
53,CMI - Champaign/Urbana,3668 ,3687 ,7355 ,141139 ,38 ,141627 ,38 
54,COS - Colorado Springs,11627 ,11674 ,23301 ,970264 ,83 ,975168 ,83 
55,CPR - Casper,3974 ,3975 ,7949 ,101612 ,25 ,101646 ,25 
56,CRP - Corpus Christi,5021 ,5032 ,10053 ,360087 ,71 ,360946 ,71 
57,CRW - Charleston,3318 ,3324 ,6642 ,145471 ,43 ,145932 ,43 
58,CSG - Columbus,715 ,712 ,1427 ,38587 ,53 ,38208 ,53 
59,CVG - Covington,50217 ,50177 ,100394 ,4200478 ,83 ,4199199 ,83 
60,CWA - Mosinee,1354 ,1358 ,2712 ,55803 ,41 ,55895 ,41 
61,DAL - Dallas,80033 ,79991 ,160024 ,9779997 ,122 ,9784176 ,122 
62,DAY - Dayton,7922 ,7937 ,15859 ,614823 ,77 ,615133 ,77 
63,DBQ - Dubuque,1108 ,1114 ,2222 ,53068 ,47 ,53347 ,47 
64,DCA - Washington,111085 ,111177 ,222262 ,12733021 ,114 ,12744598 ,114 
65,DEN - Denver,284445 ,284023 ,568468 ,36334158 ,127 ,36332907 ,127 
66,DFW - Dallas/Ft. Worth,302865 ,302861 ,605726 ,40192167 ,132 ,40219455 ,132 
67,DHN - Dothan,2170 ,1966 ,4136 ,74978 ,34 ,74435 ,37 
68,DLH - Duluth,4034 ,4051 ,8085 ,230597 ,57 ,231407 ,57 
69,DRO - Durango,1795 ,1802 ,3597 ,95591 ,53 ,95717 ,53 
70,DSM - Des Moines,13021 ,13026 ,26047 ,1330700 ,102 ,1332314 ,102 
71,DTW - Detroit,170031 ,170024 ,340055 ,20730851 ,121 ,20734341 ,121 
72,EKO - Elko,738 ,743 ,1481 ,34226 ,46 ,34308 ,46 
73,ELM - Elmira/Corning,3014 ,3012 ,6026 ,174270 ,57 ,173990 ,57 
74,ELP - El Paso,17918 ,17882 ,35800 ,1795446 ,100 ,1793412 ,100 
75,ERI - Erie,2305 ,2297 ,4602 ,98926 ,42 ,98882 ,43 
76,ESC - Escanaba,934 ,943 ,1877 ,31175 ,33 ,31447 ,33 
77,EUG - Eugene,7047 ,6967 ,14014 ,595698 ,84 ,596608 ,85 
78,EVV - Evansville,2536 ,2798 ,5334 ,131576 ,51 ,132164 ,47 
79,EWR - Newark,186940 ,187069 ,374009 ,27103669 ,144 ,27151228 ,145 
80,EYW - Key West,9595 ,9581 ,19176 ,609386 ,63 ,609947 ,63 
81,FAI - Fairbanks,10278 ,9893 ,20171 ,879911 ,85 ,873894 ,88 
82,FAR - Fargo,11278 ,11262 ,22540 ,561792 ,49 ,561989 ,49 
83,FAT - Fresno,13579 ,13641 ,27220 ,1118913 ,82 ,1120033 ,82 
84,FAY - Fayetteville,2767 ,2757 ,5524 ,161308 ,58 ,161305 ,58 
85,FLG - Flagstaff,2048 ,2064 ,4112 ,129821 ,63 ,130094 ,63 
86,FLL - Fort Lauderdale,142909 ,143437 ,286346 ,20220683 ,141 ,20255317 ,141 
87,FNT - Flint,3509 ,3519 ,7028 ,255177 ,72 ,255594 ,72 
88,FSD - Sioux Falls,9933 ,9855 ,19788 ,537320 ,54 ,537831 ,54 
89,FSM - Fort Smith,1326 ,1326 ,2652 ,51318 ,38 ,51522 ,38 
90,FWA - Fort Wayne,7653 ,7672 ,15325 ,468361 ,61 ,467611 ,60 
91,GEG - Spokane,14811 ,14801 ,29612 ,1809464 ,122 ,1808842 ,122 
92,GFK - Grand Forks,2311 ,2334 ,4645 ,150012 ,64 ,150417 ,64 
93,GGG - Longview,1451 ,1333 ,2784 ,40943 ,28 ,40565 ,30 
94,GJT - Grand Junction,6026 ,6038 ,12064 ,320929 ,53 ,321748 ,53 
95,GNV - Gainesville,3449 ,3452 ,6901 ,169272 ,49 ,169405 ,49 
96,GPT - Gulfport,3375 ,3375 ,6750 ,287819 ,85 ,287622 ,85 
97,GRB - Green Bay,5727 ,5730 ,11457 ,346758 ,60 ,347196 ,60 
98,GRK - Fort Hood/Killeen,4045 ,4042 ,8087 ,274349 ,67 ,271829 ,67 
99,GRR - Grand Rapids,18751 ,18758 ,37509 ,1885899 ,100 ,1885953 ,100 
100,GSO - Greensboro,15047 ,15042 ,30089 ,1080112 ,71 ,1080766 ,71 
101,GSP - Greer,11472 ,11718 ,23190 ,1201872 ,104 ,1203167 ,102 
102,GTF - Great Falls,3234 ,3234 ,6468 ,144977 ,44 ,145010 ,44 
103,GTR - Columbus/W Point/Starkville,1186 ,1192 ,2378 ,59651 ,50 ,59760 ,50 
